TestCaseNo,Type,Time1,Time2,Name,Title,Body,Description,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,FileName,FileType,ParentIdentifier,ContentType,ContentSubtype,ActionType,ResourceName,ResourceURL,TestScenario,Execute
TCOSPA001,Announcement,1457093560000,,,TCOSPA001 Annoucement Title Custom List,TCOSPA001​ Annoucement body Custom List​,,3/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announcements,Item,Created,CustomContentType,/AdditionalAndCustomType/Lists/CustomContentType,Create Announcement in Custom List,yes
TCOSPA002,Category,1457418601000,,,TCOSPA001 Category Title,​,TCOSPA001 Category Description,https://www.google.co.in/,TCOSPA001 type of description,,,,,,,,,,,,,,,,,,,,,,,,,,,Category,Category,Created,CustomContentType,/AdditionalAndCustomType/Lists/CustomContentType,Create Category in Custom List,yes
TCOSPA003,Comment,1457419086000,,,TCOSPA003 Comment Title,TCOSPA003 Comment Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blog,Comment,Created,CustomContentType,/AdditionalAndCustomType/Lists/CustomContentType,Create Comments in Custom List,yes
TCOSPA004,Discussion Board,1457419139000,,,TCOSPA004 Discussion Title,TCOSPA004 Discussion Body,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discussion Board,Item,Created,CustomContentType,/AdditionalAndCustomType/Lists/CustomContentType,Create 	Discussion Board in Custom List,yes
TCOSPA005,Discussion Board,1457419178000,,,TCOSPA005 Discussion with Question Title,TCOSPA005 Discussion with Question Body,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discussion Board,Item,Created,CustomContentType,/AdditionalAndCustomType/Lists/CustomContentType,Create Discussion Board As Question in Custom List,yes
TCOSPA006,Issue,1457419670000,,,TCOSPA006 Issue Title In custom List,,TCOSPA006 Issue Desciption In custom List,Abhilash C B,Active,(1) High,(1) Category1,TCOSPA001 Category Title,TCOSPA006 Issue Append-Only Comment In custom List,3/16/2016,,,,,,,,,,,,,,,,,,,,,,Issue,Issue,Created,CustomContentType,/AdditionalAndCustomType/Lists/CustomContentType,Create Issue in Custom List,yes
TCOSPA007,Links,1457419737000,,,,,,http://www.google.co.in,TCOSPA007 Link Type the Description,TCOSPA007 Link Comments in Custom List,,,,,,,,,,,,,,,,,,,,,,,,,,Links,Item,Created,CustomContentType,/AdditionalAndCustomType/Lists/CustomContentType,Create Links in Custom List,yes
TCOSPA008,Post,1457419793000,,,TCOSPA008 Post Title Custom List,TCOSPA001 Post Body Custom List,,3/24/2016 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blog,Post,Created,CustomContentType,/AdditionalAndCustomType/Lists/CustomContentType,Create Post in Custom List,yes
TCOSPA009,Tasks,1457419860000,,,TCOSPA009 Task Title Custom List,TCOSPA009 Task Body Custom List,,3/22/2016,(1) High,Abhilash C B,40 %,3/7/2016,,,,,,,,,,,,,,,,,,,,,,,,Tasks,Item,Created,CustomContentType,/AdditionalAndCustomType/Lists/CustomContentType,Create Tasks in Custom List,yes
TCOSPA010,Circulation,1466412172000,,,TCOSPA0010 Circulation Title Custom List,TCOSPA0010 Circulation Body Custom List,,TCOSPA0010 Circulation Append-Only-Comments Custom List,,,,,,,,,,,,,,,,,,,,,,,,,Hydrangeas.jpg,,,Circulation,Circulation,Updated,AdditionalConTypes,/AdditionalAndCustomType/Lists/AdditionalConTypes,Create Circulation in Additional Content Type List,yes
